URL,Titre,Source,Categorie,Severite,Date
https://nvd.nist.gov/vuln/detail/CVE-2026-5551,CVE-2026-5551,NVD,cve,important,2026-04-05T09:51:00.184318+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5550,CVE-2026-5550,NVD,cve,important,2026-04-05T08:56:56.945621+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5548,CVE-2026-5548,NVD,cve,important,2026-04-05T08:56:52.862755+00:00
https://github.com/pedro-lucas-melo/Estudo-de-Caso-CVE-2024-21413,pedro-lucas-melo/Estudo-de-Caso-CVE-2024-21413,GitHub PoC,poc,info,2026-04-05T06:49:08.210521+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5544,CVE-2026-5544,NVD,cve,important,2026-04-05T06:45:38.891208+00:00
https://thehackernews.com/2026/04/36-malicious-npm-packages-exploited.html,"36 Malicious npm Packages Exploited Redis, PostgreSQL to Deploy Persistent Implants",The Hacker News,cyberattaque,critique,2026-04-05T06:45:25.442377+00:00
https://thehackernews.com/2026/04/fortinet-patches-actively-exploited-cve.html,Fortinet Patches Actively Exploited CVE-2026-35616 in FortiClient EMS,The Hacker News,cyberattaque,critique,2026-04-05T06:45:18.027648+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5540,CVE-2026-5540,NVD,cve,important,2026-04-05T05:26:29.919832+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5536,CVE-2026-5536,NVD,cve,important,2026-04-05T05:26:26.523628+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5534,CVE-2026-5534,NVD,cve,important,2026-04-05T03:26:18.252837+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-5526,CVE-2026-5526,NVD,cve,important,2026-04-04T23:39:10.657900+00:00
https://www.zataz.com/un-pirate-menace-une-femme-enceinte-par-telephone-certains-pirates-francais-sont-ils-devenus-des-enfoires/,Un pirate menace une femme enceinte par téléphone : certains pirates français sont-ils devenus des enfoirés ?,Zataz,cyberattaque,important,2026-04-04T23:39:00.888480+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25246,CVE-2018-25246,NVD,cve,important,2026-04-04T20:42:25.958481+00:00
https://www.bleepingcomputer.com/news/security/axios-npm-hack-used-fake-teams-error-fix-to-hijack-maintainer-account/,Axios npm hack used fake Teams error fix to hijack maintainer account,BleepingComputer,cyberattaque,critique,2026-04-04T20:42:14.720931+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25255,CVE-2018-25255,NVD,cve,important,2026-04-04T15:03:23.327862+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25251,CVE-2018-25251,NVD,cve,important,2026-04-04T15:03:19.631127+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25250,CVE-2018-25250,NVD,cve,important,2026-04-04T15:03:15.650801+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25248,CVE-2018-25248,NVD,cve,important,2026-04-04T15:03:03.362769+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25245,CVE-2018-25245,NVD,cve,important,2026-04-04T15:02:57.061215+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25241,CVE-2018-25241,NVD,cve,important,2026-04-04T15:02:53.417510+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20061,CVE-2016-20061,NVD,cve,important,2026-04-04T15:02:49.876441+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20060,CVE-2016-20060,NVD,cve,important,2026-04-04T15:02:46.381255+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20059,CVE-2016-20059,NVD,cve,important,2026-04-04T15:02:42.852480+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20058,CVE-2016-20058,NVD,cve,important,2026-04-04T15:02:38.894276+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20057,CVE-2016-20057,NVD,cve,important,2026-04-04T15:02:35.428768+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20056,CVE-2016-20056,NVD,cve,important,2026-04-04T15:02:29.324142+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20055,CVE-2016-20055,NVD,cve,important,2026-04-04T15:02:23.011617+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25254,CVE-2018-25254,NVD,cve,critique,2026-04-04T15:02:19.458702+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20052,CVE-2016-20052,NVD,cve,critique,2026-04-04T15:02:12.513805+00:00
https://www.bleepingcomputer.com/news/security/linkedin-secretly-scans-for-6-000-plus-chrome-extensions-collects-data/,"LinkedIn secretly scans for 6,000+ Chrome extensions, collects data",BleepingComputer,cyberattaque,important,2026-04-04T15:01:47.224997+00:00
https://www.bleepingcomputer.com/news/security/device-code-phishing-attacks-surge-37x-as-new-kits-spread-online/,Device code phishing attacks surge 37x as new kits spread online,BleepingComputer,cyberattaque,important,2026-04-04T15:01:37.495858+00:00
https://github.com/pl4tyz/CVE-2026-33701-Unsafe-Deserialization-in-OpenTelemetry-Java-Agent-RMI-Instrumentation,pl4tyz/CVE-2026-33701-Unsafe-Deserialization-in-OpenTelemetry-Java-Agent-RMI-Instrumentation,GitHub PoC,poc,info,2026-04-04T14:12:24.169652+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-3666,CVE-2026-3666,NVD,cve,important,2026-04-04T13:13:53.225048+00:00
