URL,Titre,Source,Categorie,Severite,Date
https://isc.sans.edu/diary/rss/32842,"TeamPCP Supply Chain Campaign: Update 003 - Operational Tempo Shift as Campaign Enters Monetization Phase With No New Compromises in 48 Hours, (Sat, Mar 28th)",SANS ISC,outil,critique,2026-03-28T15:43:30.450889+00:00
https://github.com/yahiahamza/CVE-2026-25099,yahiahamza/CVE-2026-25099,GitHub PoC,poc,info,2026-03-28T15:00:36.476905+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4998,CVE-2026-4998,NVD,cve,important,2026-03-28T15:00:23.414821+00:00
https://www.bleepingcomputer.com/news/security/new-infinity-stealer-malware-grabs-macos-data-via-clickfix-lures/,New Infinity Stealer malware grabs macOS data via ClickFix lures,BleepingComputer,cyberattaque,important,2026-03-28T14:59:50.623805+00:00
https://nvd.nist.gov/vuln/detail/CVE-2026-4996,CVE-2026-4996,NVD,cve,important,2026-03-28T13:13:51.500750+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25225,CVE-2018-25225,NVD,cve,important,2026-03-28T13:13:48.179237+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25224,CVE-2018-25224,NVD,cve,important,2026-03-28T13:13:44.861655+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25222,CVE-2018-25222,NVD,cve,important,2026-03-28T13:13:41.428740+00:00
https://nvd.nist.gov/vuln/detail/CVE-2017-20228,CVE-2017-20228,NVD,cve,important,2026-03-28T13:13:37.485824+00:00
https://nvd.nist.gov/vuln/detail/CVE-2017-20226,CVE-2017-20226,NVD,cve,important,2026-03-28T13:13:34.080341+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20048,CVE-2016-20048,NVD,cve,important,2026-03-28T13:13:30.684755+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20047,CVE-2016-20047,NVD,cve,important,2026-03-28T13:13:27.037995+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20046,CVE-2016-20046,NVD,cve,important,2026-03-28T13:13:23.681952+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20045,CVE-2016-20045,NVD,cve,important,2026-03-28T13:13:20.285454+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20044,CVE-2016-20044,NVD,cve,important,2026-03-28T13:13:16.601926+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20043,CVE-2016-20043,NVD,cve,important,2026-03-28T13:13:13.304069+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20042,CVE-2016-20042,NVD,cve,important,2026-03-28T13:13:09.972293+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20041,CVE-2016-20041,NVD,cve,important,2026-03-28T13:13:06.334625+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20040,CVE-2016-20040,NVD,cve,important,2026-03-28T13:13:02.971149+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20039,CVE-2016-20039,NVD,cve,important,2026-03-28T13:12:59.680860+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20038,CVE-2016-20038,NVD,cve,important,2026-03-28T13:12:56.337178+00:00
https://nvd.nist.gov/vuln/detail/CVE-2016-20037,CVE-2016-20037,NVD,cve,important,2026-03-28T13:12:52.997542+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25223,CVE-2018-25223,NVD,cve,critique,2026-03-28T13:12:47.612474+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25221,CVE-2018-25221,NVD,cve,critique,2026-03-28T13:12:39.352847+00:00
https://nvd.nist.gov/vuln/detail/CVE-2018-25220,CVE-2018-25220,NVD,cve,critique,2026-03-28T13:12:34.088262+00:00
https://nvd.nist.gov/vuln/detail/CVE-2017-20229,CVE-2017-20229,NVD,cve,critique,2026-03-28T13:12:28.562108+00:00
